IDEESS;Dirección;Horario;Rótulo;Margen;Tipo Venta;Remisión;Latitud;Longitud (WGS84);Municipio;C.P.;Provincia;CCAA
4375;AVENIDA CASTILLA LA MANCHA, 26;L-D: 07:00-22:00;Nº 10.935;D;P;dm;39,211417;-1,539167;Abengibre;02250;ALBACETE;CASTILLA LA MANCHA
5122;CR CM-332, 46,4;L-D: 7:00-23:00;REPSOL;I;P;dm;39,100389;-1,346083;Alatoz;02152;ALBACETE;CASTILLA LA MANCHA
12054;CALLE PRINCIPE DE ASTURIAS (POLÍGONO DE ROMICA), 5;L-D: 06:00-21:30;BP ROMICA;I;P;OM;39,054694;-1,832000;Albacete;02001;ALBACETE;CASTILLA LA MANCHA
13933;CALLE FEDERICO GARCIA LORCA, 1;L-D: 24H;PLENOIL;D;P;dm;39,000861;-1,849833;Albacete;02001;ALBACETE;CASTILLA LA MANCHA
10765;AVENIDA 1º DE MAYO, S/N;"L-S: 08:00-22:00; D: 09:00-21:00";CARREFOUR;N;P;dm;38,985667;-1,868500;Albacete;02001;ALBACETE;CASTILLA LA MANCHA
4438;CALLE FEDERICO GARCIA LORCA, 5;L-S: 05:00-23:00;CEPSA;I;R;dm;38,997722;-1,846361;Albacete;02001;ALBACETE;CASTILLA LA MANCHA
15000;AVENIDA ESCRITOR RODRIGO RUBIO, 3;L-S: 09:00-21:30;A&A;D;P;dm;39,006889;-1,885361;Albacete;02005;ALBACETE;CASTILLA LA MANCHA
14123;PASEO CUBA (LA), 36;L-D: 06:00-23:00;CEPSA;N;P;dm;39,005083;-1,859917;Albacete;02005;ALBACETE;CASTILLA LA MANCHA
5195;CL PASEO DE LA CUBA, 15;L-D: 06:00-22:00;REPSOL;D;P;OM;38,999722;-1,854556;Albacete;02005;ALBACETE;CASTILLA LA MANCHA
4369;AVENIDA MENÉNDEZ PIDAL, 58;L-D: 24H;TAMOS;N;P;dm;39,003333;-1,864917;Albacete;02005;ALBACETE;CASTILLA LA MANCHA
5313;CALLE HERMANOS FALCÓ, 2;L-D: 06:30-22:30;CEPSA;D;P;dm;38,989250;-1,849028;Albacete;02002;ALBACETE;CASTILLA LA MANCHA
5245;CARRETERA JAEN KM. 2;L-D: 24H;REPSOL;D;P;dm;38,994667;-1,871722;Albacete;02006;ALBACETE;CASTILLA LA MANCHA
5191;PG CAMPOLLANO-P. 2-CT, S.N.;"L-V: 06:00-22:00; S: 07:30-15:30; D: 09:00-15:00";REPSOL;D;P;OM;39,012583;-1,874972;Albacete;02006;ALBACETE;CASTILLA LA MANCHA
5208;CR N-301, 244;L-D: 24H;REPSOL;I;P;OM;39,027778;-1,892972;Albacete;02006;ALBACETE;CASTILLA LA MANCHA
5289;CARRETERA N-322 KM. 359;"L-V: 07:00-21:00; S-D: 09:00-14:00";REPSOL;D;P;OM;39,033139;-1,845083;Albacete;02006;ALBACETE;CASTILLA LA MANCHA
4416;AVDA. DE ESPAÑA (PRÓX. A C/ SAN JUAN), S/N;L-D: 07:00-23:00;INPEALSA;N;P;dm;38,982167;-1,853306;Albacete;02006;ALBACETE;CASTILLA LA MANCHA
4415;AVDA. DE LOS TOREROS, S/N;L-D: 07:00-23:00;INPEALSA;N;P;dm;38,998222;-1,869889;Albacete;02006;ALBACETE;CASTILLA LA MANCHA
5222;CALLE CTRA. DE JAEN, 79;L-D: 06:00-23:00;REPSOL;I;P;dm;38,988111;-1,883694;Albacete;02006;ALBACETE;CASTILLA LA MANCHA
4428;CALLE ALCALDE CONANGLA (C.C. EROSKI), S/N;"L-S: 07:00-23:00; D: 08:00-23:00";FAMILY ENERGY;N;P;dm;38,988972;-1,847361;Albacete;02006;ALBACETE;CASTILLA LA MANCHA
5116;CR N-322, 337,8;L-D: 06:30-22:00;REPSOL;I;P;dm;38,925833;-2,031861;Albacete;02006;ALBACETE;CASTILLA LA MANCHA
4795;CALLE ALMANSA, 2;L-D: 06:00-23:00;CEPSA;I;P;dm;38,984139;-1,847083;Albacete;02006;ALBACETE;CASTILLA LA MANCHA
14377;CARRETERA NACIONAL 322 PTO KM 347 KM. 347;L-S: 07:00-22:00;P347;D;P;dm;38,965639;-1,935500;Albacete;02006;ALBACETE;CASTILLA LA MANCHA
5318;AVENIDA 1º DE MAYO, S/N;L-D: 07:00-23:00;PETROCAMP;N;P;dm;38,985194;-1,866806;Albacete;02006;ALBACETE;CASTILLA LA MANCHA
5129;CARRETERA NACIONAL 301 KM. 256;"L-V: 06:00-22:00; S: 06:00-14:00; D: 09:00-21:00";INPEALSA;D;P;dm;38,929389;-1,831639;Albacete;02099;ALBACETE;CASTILLA LA MANCHA
11048;CARRETERA N-322 KM. 349;L-D: 24H;CEPSA;D;P;dm;38,970167;-1,919778;Albacete;02004;ALBACETE;CASTILLA LA MANCHA
5272;AVENIDA PRINCIPE, 2;L-D: 08:00-16:00;REPSOL;D;P;OM;38,900944;-1,994028;Albacete;02328;ALBACETE;CASTILLA LA MANCHA
4394;CM. 3203 km 14,1;"L-S: 07:00-21:30; D: 09:00-14:00";LOZANO;D;P;dm;38,867556;-1,920500;Albacete;02140;ALBACETE;CASTILLA LA MANCHA
8915;CTRA.AGUASNUEVAS KM 0,25;L-D: 24H;CORYMAR;D;R;dm;38,870278;-1,922722;Albacete;02099;ALBACETE;CASTILLA LA MANCHA
12763;AVENIDA 3ª ESQUINA C/ F Nº3, 3;L-D: 24H;FAST & GAS;N;P;dm;39,009417;-1,885694;Albacete;02007;ALBACETE;CASTILLA LA MANCHA
4413;AVENIDA 0, 48;"L-V: 07:00-21:00; S-D: 09:00-14:00";ABOIL;D;P;dm;39,021778;-1,886278;Albacete;02007;ALBACETE;CASTILLA LA MANCHA
9546;MADRID-CARTAGENA km 248,5;L-D: 06:00-22:00;REPSOL. LOS ANGELES DE LA MANCHA, S.L.;D;P;OM;38,971722;-1,845278;Albacete;02007;ALBACETE;CASTILLA LA MANCHA
11297;MADRID-CARTAGENA km 248,5;L-V: 06:00-22:00;LOS ANGELES DE LA MANCHA;I;P;OM;38,971778;-1,845306;Albacete;02007;ALBACETE;CASTILLA LA MANCHA
11087;AUTOVIA A-31 KM. 69;L-D: 06:00-22:00;REPSOL;I;P;OM;39,031528;-1,891361;Albacete;02007;ALBACETE;CASTILLA LA MANCHA
4417;AVENIDA PRIMERA, 94;"L-V: 06:00-22:00; S: 06:00-14:00";INPEALSA;N;P;dm;39,016361;-1,893944;Albacete;02007;ALBACETE;CASTILLA LA MANCHA
12801;POLIGONO AVDA. 3ª, ESQUINA C/AUTOVIA, 69;L-D: 24H;ENERCOM CARBURANTES;D;P;dm;39,018000;-1,874333;Albacete;02007;ALBACETE;CASTILLA LA MANCHA
4790;CARRETERA C-M 332 KM. 2,6;L-D: 06:00-23:30;"INLOCOR S.L. ""CEPSA""";D;P;dm;38,998111;-1,831611;Albacete;02007;ALBACETE;CASTILLA LA MANCHA
9601;SECTOR PARCELA T-3 LOCAL52, 14;"L-S: 06:00-23:00; D: 08:00-23:00";ALCAMPO;N;P;dm;39,009639;-1,878111;Albacete;02007;ALBACETE;CASTILLA LA MANCHA
13620;POLIGONO CAMPOLLANO, 55;"L-V: 05:30-23:00; S: 06:30-22:30; D: 07:30-21:00";CEPSA;N;P;dm;39,015444;-1,871361;Albacete;02007;ALBACETE;CASTILLA LA MANCHA
10129;POLIGONO CAMPOLLANO C/.F, 13;L-D: 24H;AVANZA OIL;D;P;dm;39,012472;-1,889417;Albacete;02007;ALBACETE;CASTILLA LA MANCHA
13369;AVENIDA PRIMERA, S/N;L-D: 24H;GMOIL;D;P;dm;39,022139;-1,882056;Albacete;02007;ALBACETE;CASTILLA LA MANCHA
13930;AVENIDA POLIGONO CAMPOLLANO AVENIDA 0, 67;L-D: 24H;VALERO 24H;N;P;dm;39,021583;-1,886556;Albacete;02007;ALBACETE;CASTILLA LA MANCHA
14612;CALLE C/ AUTOVIA C/V AVD. SEXTA, S/N;L-D: 24H;NATURGY ES  GNV ALBACETE;D;P;dm;39,029583;-1,888083;Albacete;02007;ALBACETE;CASTILLA LA MANCHA
5173;AUTOVIA A-30 KM. 239,4;L-D: 07:00-23:00;CEPSA;D;P;OM;39,059806;-1,933250;Albacete;02080;ALBACETE;CASTILLA LA MANCHA
5174;AUTOVIA A-30 KM. 239,4;L-D: 24H;CEPSA;I;P;OM;39,060528;-1,933056;Albacete;02080;ALBACETE;CASTILLA LA MANCHA
14287;POLIGONO Nº 71, PARCELA 678, PARAJE HONDO DE LA MORENA S/N, S/N;L-D: 06:30-22:30;CEPSA;D;P;dm;38,969361;-1,823639;Albacete;02080;ALBACETE;CASTILLA LA MANCHA
14465;CARRETERA DE LAS PEÑAS KM 0+238 KM. 0,238;L-D: 07:00-22:00;AREA LOS LLANOS;I;P;dm;38,970778;-1,873194;Albacete;02080;ALBACETE;CASTILLA LA MANCHA
4794;CM-3203 km 41,9;L-D: 07:00-21:30;CEPSA;I;P;dm;38,646833;-1,978917;Alcadozo;02124;ALBACETE;CASTILLA LA MANCHA
8097;CARRETERA CM-3201 47,1 KM. 47,1;L: 08:00-20:00;EL JUCAR;D;P;dm;39,203167;-1,433222;Alcalá del Júcar;02210;ALBACETE;CASTILLA LA MANCHA
5241;CR N-322 276,5;L-D: 07:00-22:00;CAMPSA;D;P;dm;38,673111;-2,492222;Alcaraz;02300;ALBACETE;CASTILLA LA MANCHA
5134;CARRETERA 322 KM. 302;L-V: 07:00-17:00;REPSOL;I;P;OM;38,808528;-2,327639;Alcaraz;02330;ALBACETE;CASTILLA LA MANCHA
4877;CL AVDA. DE AYORA, S.N. A;L-D: 06:00-22:00;REPSOL;D;P;OM;38,874583;-1,100528;Almansa;02640;ALBACETE;CASTILLA LA MANCHA
4788;AVENIDA CIRCUNVALACION, 26;L-D: 06:00-22:00;CEPSA;N;P;dm;38,859944;-1,084750;Almansa;02640;ALBACETE;CASTILLA LA MANCHA
4383;AUTOVIA A-31 KM. 140;L-D: 07:00-23:00;SHELL;D;P;OM;38,875028;-1,175750;Almansa;02640;ALBACETE;CASTILLA LA MANCHA
4798;AVENIDA MADRID, 11;L-V: 06:00-22:00;CEPSA;N;P;OM;38,871556;-1,108000;Almansa;02640;ALBACETE;CASTILLA LA MANCHA
4799;AUTOVIA A-31 KM. 143,350;L-D: 06:00-22:00;CEPSA;I;P;OM;38,878278;-1,143722;Almansa;02640;ALBACETE;CASTILLA LA MANCHA
4872;AVENIDA CIRCUNVALACION, 9;L-D: 06:00-22:00;CEPSA;N;P;OM;38,879167;-1,098889;Almansa;02640;ALBACETE;CASTILLA LA MANCHA
14256;CALLE INFANTE DON JUAN MANUEL, 4;L-D: 24H;QUALITY ALMANSA;D;P;dm;38,874583;-1,101250;Almansa;02640;ALBACETE;CASTILLA LA MANCHA
11931;AVENIDA CIRCUNVALACION, 17;L-D: 24H;GASÓLEOS S. ALMANSA;N;P;dm;38,874083;-1,089278;Almansa;02640;ALBACETE;CASTILLA LA MANCHA
14129;CARRETERA N-430 BADAJOZ A VALENCIA KM. 594;L-D: 24H;GASOLINERA LOW COST PENADES;D;P;dm;38,850278;-1,027694;Almansa;02640;ALBACETE;CASTILLA LA MANCHA
9035;BONETE, S/Nº;L-D: 24H;COOPERATIVA SANTA CRUZ DE ALPERA;N;P;dm;38,958875;-1,236552;Alpera;02690;ALBACETE;CASTILLA LA MANCHA
4396;N-322 km 326,2;L-D: 07:00-23:00;E.S. BALAZOTE S.L.;D;P;dm;38,878028;-2,150639;Balazote;02320;ALBACETE;CASTILLA LA MANCHA
9254;CAMINO DE LOS GONZALOS SN;L-D: 24H;COABA;D;R;dm;39,051236;-2,192996;Barrax;02639;ALBACETE;CASTILLA LA MANCHA
4399;CALLE ALBACETE, 57;L-D: 06:00-23:00;E.S. BARRAX S.L.;I;P;dm;39,043139;-2,195139;Barrax;02639;ALBACETE;CASTILLA LA MANCHA
5268;AUTOVIA A-31 KM. 126;L-D: 06:00-22:00;REPSOL;D;P;OM;38,875861;-1,331500;Bonete;02691;ALBACETE;CASTILLA LA MANCHA
5269;CR N-430, 566,3;L-D: 06:00-22:00;REPSOL;I;P;OM;38,876111;-1,331611;Bonete;02691;ALBACETE;CASTILLA LA MANCHA
5282;CALLE CARRETERA MUNERA, 2;S-D: 07:00-15:00;REPSOL;D;P;OM;38,953361;-2,535056;Bonillo (El);02610;ALBACETE;CASTILLA LA MANCHA
4390;AVDA. ALBACETE, 33;L-D: 07:00-23:00;GASOLINERAS DEL REY;D;P;dm;39,100792;-1,560857;Casas de Juan Núñez;02151;ALBACETE;CASTILLA LA MANCHA
5204;CARRETERA ALBACETE KM. 94;L-D: 07:00-21:00;CEPSA;I;P;dm;39,283944;-1,477806;Casas-Ibáñez;02200;ALBACETE;CASTILLA LA MANCHA
10953;AVDA. DEL VINO, 10;L-D: 24H;CEPSA;D;R;dm;39,291375;-1,474107;Casas-Ibáñez;02200;ALBACETE;CASTILLA LA MANCHA
12471;CARRETERA N-344 KM. 114,500;L-D: 24H;TRANSPORTES CAUDETE;I;P;dm;38,710861;-0,974778;Caudete;02660;ALBACETE;CASTILLA LA MANCHA
5323;AVENIDA VALENCIA DE, 16;L-D: 06:00-22:00;GALP;N;P;dm;38,708944;-0,982111;Caudete;02660;ALBACETE;CASTILLA LA MANCHA
9293;AUTOVIA A-31 KM. 172;L-V: 07:00-15:00;BP OIL;D;P;dm;38,721917;-0,933861;Caudete;02660;ALBACETE;CASTILLA LA MANCHA
5142;CR N-344 DIRC.VALENCIA, KM.  118.3;L-D: 06:00-22:00;BP PARGA I PETROL BAS BEL;N;P;dm;38,727472;-0,943000;Caudete;02660;ALBACETE;CASTILLA LA MANCHA
14203;CARRETERA D-12 ESTACION KM. 32;L-D: 24H;VILA Y FAYOS ;D;P;dm;38,711694;-0,971639;Caudete;02660;ALBACETE;CASTILLA LA MANCHA
15047;CARRETERA D12 ESTACION KM. 1;L-D: 24H;HAM;D;P;dm;38,710750;-0,973861;Caudete;02660;ALBACETE;CASTILLA LA MANCHA
4820;CR N-330, 71,4;L-D: 06:00-23:00;REPSOL;I;P;OM;38,756417;-0,955833;Caudete;02660;ALBACETE;CASTILLA LA MANCHA
12074;CALLE VIRGEN DE LAS NIEVES, 17;L-D: 24H;VIRGEN DE LAS NIEVES;D;R;dm;39,301000;-1,664167;Cenizate;02247;ALBACETE;CASTILLA LA MANCHA
5170;AUTOVIA A-31 KM. 86;L-D: 06:00-23:00;REPSOL;D;P;OM;38,937583;-1,758000;Chinchilla de Monte-Aragón;02520;ALBACETE;CASTILLA LA MANCHA
5171;AUTOVIA A-31 KM. 86;L-D: 06:00-23:00;REPSOL;I;P;OM;38,938611;-1,757611;Chinchilla de Monte-Aragón;02520;ALBACETE;CASTILLA LA MANCHA
5230;Ctra. AB-430 KM 530,3;L: 06:00-22:00;REPSOL;I;P;OM;38,915972;-1,726278;Chinchilla de Monte-Aragón;02520;ALBACETE;CASTILLA LA MANCHA
5196;CL AVENIDA GENERALISIMO 107 (N-301 km 276);L-D: 06:00-22:00;REPSOL;I;P;OM;38,803389;-1,731861;Chinchilla de Monte-Aragón;02510;ALBACETE;CASTILLA LA MANCHA
4800;AUTOVIA A31 KM. 111;"L-V: 06:00-22:00; S-D: 07:00-22:00";CEPSA;N;P;dm;38,898306;-1,502806;Chinchilla de Monte-Aragón;02695;ALBACETE;CASTILLA LA MANCHA
5255;CL BOLEA, 36 (CM-412 km 235,65);L: 06:00-22:00;CAMPSA;D;P;OM;38,451306;-2,044778;Elche de la Sierra;02430;ALBACETE;CASTILLA LA MANCHA
4422;AVDA. DOCTOR PEREZ GIL, 25;L-D: 07:00-21:00;Nº 7374;N;P;dm;38,689833;-1,433306;Fuente-Álamo;02651;ALBACETE;CASTILLA LA MANCHA
10621;LA HIGUERA, 000;L-D: 24H;SAN DIONISIO;D;R;dm;38,695348;-1,431579;Fuente-Álamo;02651;ALBACETE;CASTILLA LA MANCHA
4403;N-322 (CORDOBA-VALENCIA) km 399;L-D: 07:00-20:00;ES SAN ANTONIOABAD. FUENTEALBILLA;I;P;dm;39,269972;-1,548639;Fuentealbilla;02260;ALBACETE;CASTILLA LA MANCHA
5237;CR N-301, 231,8;L-D: 07:00-21:00;REPSOL;D;P;OM;39,107667;-1,990194;Gineta (La);02110;ALBACETE;CASTILLA LA MANCHA
4841;CR A-31, 235;L-D: 06:00-22:00;REPSOL;I;P;OM;39,086278;-1,963944;Gineta (La);02110;ALBACETE;CASTILLA LA MANCHA
4789;CARRETERA NACIONAL 322 KM. 390;L: 06:00-22:00;CEPSA;D;P;dm;39,238111;-1,635111;Golosalvo;02253;ALBACETE;CASTILLA LA MANCHA
10575;AUTOVIA A-30 KM. 322,5;L-D: 06:00-22:00;GALP;D;P;dm;38,464250;-1,596722;Hellín;02400;ALBACETE;CASTILLA LA MANCHA
11181;CARRETERA TORREUCHEA KM. 1;L-D: 24H;HELLIN GAS S.L.;D;P;dm;38,495972;-1,636389;Hellín;02400;ALBACETE;CASTILLA LA MANCHA
5312;CARRETERA A-30 KM. 328,2;L-D: 06:00-22:00;CEPSA;I;P;OM;38,417306;-1,571667;Hellín;02400;ALBACETE;CASTILLA LA MANCHA
4806;CARRETERA JAEN KM. 47;L-D: 08:00-21:00;REPSOL;D;P;OM;38,502889;-1,714556;Hellín;02400;ALBACETE;CASTILLA LA MANCHA
4831;CARRETERA MURCIA KM. 33;L-D: 06:00-23:00;PETRONOR;I;P;OM;38,506806;-1,687833;Hellín;02400;ALBACETE;CASTILLA LA MANCHA
5135;CARRETERA N-301 KM. 316;L-D: 06:00-23:00;REPSOL;I;P;OM;38,524444;-1,703056;Hellín;02400;ALBACETE;CASTILLA LA MANCHA
4423;MELCHOR  DE MACANAZ, 66;L: 06:00-23:00;BP;N;P;dm;38,511222;-1,696972;Hellín;02400;ALBACETE;CASTILLA LA MANCHA
11142;POLIGONO SAN RAFAEL 3ª FASE, SN;L-D: 24H;IDS;N;P;OM;38,545111;-1,705389;Hellín;02400;ALBACETE;CASTILLA LA MANCHA
14148;CARRETERA N 301-A KM. S/N;L-D: 24H;MULTSER-OIL;D;P;dm;38,502528;-1,677694;Hellín;02400;ALBACETE;CASTILLA LA MANCHA
14611;AVENIDA LIBERTAD, 111;L-D: 24H;PLENOIL;D;P;dm;38,517306;-1,700417;Hellín;02400;ALBACETE;CASTILLA LA MANCHA
13229;CARRETERA CM 412 KM. 273;L-D: 06:30-22:00;PETROGAS;D;P;dm;38,532389;-1,694889;Hellín;02400;ALBACETE;CASTILLA LA MANCHA
5163;CARRETERA DE HELLIN KM. 104;L-D: 06:00-23:00;REPSOL;D;P;OM;38,491861;-1,741111;Hellín;02420;ALBACETE;CASTILLA LA MANCHA
8895;BALTASAR GONZALEZ SAEZ, 34 - 36;L-D: 24H;NO;D;R;dm;38,960944;-1,444083;Higueruela;02694;ALBACETE;CASTILLA LA MANCHA
4852;AUTOVIA A-31 KM. 103,150;L-D: 07:00-23:00;REPSOL;D;P;dm;38,921833;-1,583389;Hoya-Gonzalo;02696;ALBACETE;CASTILLA LA MANCHA
4393;CARRETERA A 45 KM. 39,8;L-D: 07:30-21:00;E.S. SIERRA DEL SEGURA;D;P;dm;38,356556;-2,111056;Letur;02434;ALBACETE;CASTILLA LA MANCHA
4371;PASEO LIBERTAD, 62;L-D: 7:00-20:30;E.S. VIRGEN DE LA CRUZ;D;P;dm;38,948472;-2,354861;Lezuza;02160;ALBACETE;CASTILLA LA MANCHA
9252;AVENIDA DE LEVANTE 27;L-D: 24H;SAT VIDEMA;D;R;dm;39,232528;-1,794139;Madrigueras;02230;ALBACETE;CASTILLA LA MANCHA
5232;AVENIDA LEVANTE, 15;L-D: 06:00-22:00;REPSOL;I;P;OM;39,233056;-1,799472;Madrigueras;02230;ALBACETE;CASTILLA LA MANCHA
10983;CARRETERA C-3222 KM. 9;L-S: 07:00-15:00;E.S. MADRIGUERAS;D;P;dm;39,226611;-1,800611;Madrigueras;02230;ALBACETE;CASTILLA LA MANCHA
9250;CAMINO HORTIGOSA, S/N;L-D: 24H;SECADEMA;N;R;dm;39,209972;-1,729333;Mahora;02240;ALBACETE;CASTILLA LA MANCHA
5277;CARRERA N-301, 195,2;L-D: 06:00-23:00;REPSOL;D;P;dm;39,276056;-2,330333;Minaya;02620;ALBACETE;CASTILLA LA MANCHA
10526;CALLE CAPATAZ SANTIAGO, 91;L-D: 06:30-23:00;BODEGAS SANTIAGO APOSTOL;D;R;dm;38,789694;-1,328750;Montealegre del Castillo;02650;ALBACETE;CASTILLA LA MANCHA
5202;CALLE CAPATAZ SANTIAGO, 23;L-D: 07:00-21:00;LOS CORRALES;I;P;dm;38,785917;-1,330250;Montealegre del Castillo;02650;ALBACETE;CASTILLA LA MANCHA
10015;MEDIO DÍA 28;L-D: 24H;SAT MOTILLEJA;N;R;dm;39,179070;-1,788246;Motilleja;02200;ALBACETE;CASTILLA LA MANCHA
12231;CALLE COOPERATIVAS, 4;L-D: 24H;OLEOVINICOLA CAMPOS DE MUNERA S. COOP. DE C-LM;N;R;dm;39,046139;-2,480694;Munera;02612;ALBACETE;CASTILLA LA MANCHA
5213;CALLE POZO (EL), 106;L-D: 06:30-22:30;INPEALSA;D;P;dm;39,043806;-2,485028;Munera;02612;ALBACETE;CASTILLA LA MANCHA
9982;CTRA DE LEDAÑA S/N km S/N;L-D: 24H;COOP SAN GREGORIO;N;R;dm;39,281778;-1,719778;Navas de Jorquera;02246;ALBACETE;CASTILLA LA MANCHA
5265;CR AB-702, 45,6;L-D: 07:00-21:00;CAMPSA;D;P;OM;38,151167;-2,293444;Nerpio;02530;ALBACETE;CASTILLA LA MANCHA
10619;CRTA.CM km KM297,5;L-D: 07:00-21:00;REPSOL ;I;P;dm;38,622944;-1,497667;Ontur;02652;ALBACETE;CASTILLA LA MANCHA
11340;CAMINO DE HELLIN S/N;L-D: 24H;ONTALBA S. COOP DE C-LM;D;P;dm;38,609556;-1,508333;Ontur;02652;ALBACETE;CASTILLA LA MANCHA
5270;CARRETERA N 430 KM. 429;"L-S: 08:00-20:00; D: 08:00-18:00";REPSOL;I;P;OM;38,967167;-2,751500;Ossa de Montiel;02611;ALBACETE;CASTILLA LA MANCHA
14417;AVENIDA GUARDIA CIVIL, S/N;L-D: 24H;VALERO 24H ENERGIA;D;P;dm;38,724028;-1,990278;Peñas de San Pedro;02120;ALBACETE;CASTILLA LA MANCHA
4791;CARRETERA FUENTEALAMO KM. 36;L-D: 24H;GASOLEOS TURBULA ;I;P;dm;38,828806;-1,553694;Pétrola;02692;ALBACETE;CASTILLA LA MANCHA
11977;CALLE ANTONIO MACHADO, 2;"L-V: 07:00-14:00; S: 09:00-14:00";E.S. LEDAÑA ;D;P;dm;38,805278;-1,736389;Pozo Cañada;02099;ALBACETE;CASTILLA LA MANCHA
5238;CR CM-313 61,7;L-D: 07:00-21:00;REPSOL;I;P;dm;38,717556;-1,910750;Pozohondo;02141;ALBACETE;CASTILLA LA MANCHA
12334;POLIGONO PARAJE RECIAL, 2;L-D: 24H;SAT SANTA CRUZ DE POZO LORENTE;I;P;dm;39,081278;-1,512611;Pozo-Lorente;02154;ALBACETE;CASTILLA LA MANCHA
4410;CARRETERA M 313 KM. 50;L-D: 07:00-22:00;INLOCOR S.L.;I;P;dm;38,804722;-2,098778;Pozuelo;02327;ALBACETE;CASTILLA LA MANCHA
4793;CARRETERA CM-412 KM. 199,5;L-D: 08:00-20:00;CEPSA;I;P;dm;38,493528;-2,411444;Riópar;02450;ALBACETE;CASTILLA LA MANCHA
4370;CARRETERA NACIONAL 320 KM. 289;"L-V: 07:00-21:00; S: 07:00-14:30; D: 07:00-21:00";CANOIL;D;P;dm;38,771194;-2,450028;Robledo;02340;ALBACETE;CASTILLA LA MANCHA
14811;POLIGONO AVENIDA PRIMERA, 17;L-D: 24H;HAM;D;P;dm;39,191250;-2,143056;Roda (La);02630;ALBACETE;CASTILLA LA MANCHA
8958;ALFREDO ATIENZA, 149-151;L-D: 24H;LA REMEDIADORA;D;R;dm;39,201139;-2,147750;Roda (La);02630;ALBACETE;CASTILLA LA MANCHA
13480;CARRETERA AB101 KM. 0,2;L-D: 24H;GASPLAY;N;P;dm;39,218389;-2,158028;Roda (La);02630;ALBACETE;CASTILLA LA MANCHA
11427;AUTOVIA A-31 KM. 40;L-D: 06:00-22:00;REPSOL;D;P;OM;39,200944;-2,144639;Roda (La);02630;ALBACETE;CASTILLA LA MANCHA
5162;CARRETERA CM-3114 KM. 0,1;"L-V: 06:00-10:00; S: 06:00-14:00";REPSOL;I;P;OM;39,213722;-2,156667;Roda (La);02630;ALBACETE;CASTILLA LA MANCHA
4894;CALLE ALFREDO ATIENZA, 156;L: 06:00-23:00;REPSOL;D;P;OM;39,201667;-2,149000;Roda (La);02630;ALBACETE;CASTILLA LA MANCHA
4891;CR NACIONAL 301, KM 209,5;L-D: 06:00-22:00;BP CASA JUANITO RESTAURANTE;N;P;dm;39,212361;-2,171028;Roda (La);02630;ALBACETE;CASTILLA LA MANCHA
5316;AUTOVIA A-31 KM. 34,50;L-D: 07:00-23:00;GALP;I;P;dm;39,225000;-2,186083;Roda (La);02630;ALBACETE;CASTILLA LA MANCHA
5317;CARRETERA A-31 KM. 50;L-D: 07:00-23:00;GALP;D;P;dm;39,143972;-2,051250;Roda (La);02630;ALBACETE;CASTILLA LA MANCHA
11279;MARTIRES 209;"L-V: 07:00-21:00; S: 08:00-13:00";CEPSA;D;P;OM;39,212861;-2,171778;Roda (La);02630;ALBACETE;CASTILLA LA MANCHA
9414;CR NACIONAL 301 km 210,300;L-D: 24H;RODATRANS;N;R;dm;39,213653;-2,176190;Roda (La);02630;ALBACETE;CASTILLA LA MANCHA
4392;AVENIDA DE LA PAZ, 3;"L-S: 06:00-22:00; D: 06:30-22:00";NAVARRO Y VALERO, S.L;D;P;dm;38,331361;-1,981861;Socovos;02435;ALBACETE;CASTILLA LA MANCHA
11402;CARRETERA VILLAGARCIA KM. 0,1;L-D: 24H;COOP. LA UNION AB;I;R;dm;39,270556;-1,908778;Tarazona de la Mancha;02100;ALBACETE;CASTILLA LA MANCHA
5284;CL AVENIDA DE LA RODA, 1;L-D: 07:00-23:00;REPSOL;I;P;OM;39,259750;-1,911389;Tarazona de la Mancha;02100;ALBACETE;CASTILLA LA MANCHA
12953;AVENIDA ALBACETE, 35;L-D: 24H;LA GAVIOTA GASOLINERAS;D;P;dm;39,256194;-1,912194;Tarazona de la Mancha;02100;ALBACETE;CASTILLA LA MANCHA
13778;AVENIDA GUARDIA CIVIL, 162;L-D: 06:00-23:00;NTRA. SRA. DE LA ENCARNACION;D;P;dm;38,601722;-1,680833;Tobarra;02500;ALBACETE;CASTILLA LA MANCHA
11399;AVENIDA GUARDIA CIVIL, 114;L-D: 07:00-22:00;E.S. TOBARRA;D;P;dm;38,594639;-1,685417;Tobarra;02500;ALBACETE;CASTILLA LA MANCHA
5219;AVENIDA GUARDIA CIVIL, 233;L-D: 24H;REPSOL;D;P;dm;38,602278;-1,680917;Tobarra;02500;ALBACETE;CASTILLA LA MANCHA
12786;CAMINO CAMINO DEL GUIJARRAL, 0;L-D: 06:00-22:00;SAN ROQUE DE TOBARRA S. COOP. DE C-LM;I;P;dm;38,603306;-1,694083;Tobarra;02500;ALBACETE;CASTILLA LA MANCHA
8900;SANTA CRUZ 16;L-D: 24H;NO HAY;D;R;dm;39,137222;-1,680944;Valdeganga;02150;ALBACETE;CASTILLA LA MANCHA
4895;CARRETERA CM-3114 KM. 12,7;L-S: 08:00-20:00;E.S EL GORRION;I;P;dm;39,302389;-2,067639;Villalgordo del Júcar;02636;ALBACETE;CASTILLA LA MANCHA
