Fecha;IDEESS;Precio Biodiesel;Precio Bioetanol;Precio Gas Natural Comprimido;Precio Gas Natural Licuado;Precio Gases licuados del petróleo;Precio Gasoleo A;Precio Gasoleo B;Precio Gasoleo Premium;Precio Gasolina 95 E10;Precio Gasolina 95 E5;Precio Gasolina 95 E5 Premium;Precio Gasolina 98 E10;Precio Gasolina 98 E5;% BioEtanol;% Éster metílico
01-07-2022;4375;;;;;;2.069;1.61;;;2.085;;;;0.0;0.0
01-07-2022;5122;;;;;;2.17;;2.3;;2.189;;;2.2;0.0;0.0
01-07-2022;10765;;;;;;2.129;;2.169;;2.159;;;2.299;0.0;0.0
01-07-2022;12054;;;;;;2.109;;2.199;;2.139;;;2.281;0.0;0.0
01-07-2022;4438;;;;;;2.13;;;;;;;;0.0;0.0
01-07-2022;13933;;;;;;1.997;;;;1.997;;;;0.0;0.0
01-07-2022;5195;;;;;1.029;2.115;;2.195;;2.145;;;2.265;0.0;0.0
01-07-2022;15000;;;;;0.918;1.998;;2.048;;2.048;;;;0.0;0.0
01-07-2022;4369;;;;;;2.139;;2.199;;2.149;;;2.279;0.0;0.0
01-07-2022;14123;;;;;1.099;2.139;;2.199;;2.149;;;2.279;0.0;0.0
01-07-2022;5313;;;;;;2.149;;2.199;;2.189;;;2.299;0.0;0.0
01-07-2022;5191;;;;;;2.119;;2.199;;2.135;;;2.275;0.0;0.0
01-07-2022;5318;;;;;;2.099;;;;2.119;;;;0.0;0.0
01-07-2022;4416;;;;;;2.069;;;;2.099;;;;0.0;0.0
01-07-2022;4415;;;;;;2.069;;2.119;;2.099;;;;0.0;0.0
01-07-2022;4795;;;;;;2.145;;2.211;;2.154;;;2.241;0.0;0.0
01-07-2022;4428;;;;;;1.999;;2.079;;1.999;;;2.159;0.0;0.0
01-07-2022;5208;;;;;;2.115;;2.195;;2.135;;;2.275;0.0;0.0
01-07-2022;5222;;;;;;2.129;;2.199;;2.149;;;2.269;0.0;0.0
01-07-2022;5245;;;;;;2.109;;2.169;;2.149;2.189;;2.289;0.0;0.0
01-07-2022;5116;;;;;;2.129;;2.199;;2.169;;;2.379;0.0;0.0
01-07-2022;14377;;;;;;2.049;;;;;;;;0.0;0.0
01-07-2022;5289;;;;;;2.095;;2.175;;2.125;;;2.265;0.0;0.0
01-07-2022;5129;;;;;;2.049;;;;2.099;;;;0.0;0.0
01-07-2022;11048;;;;;;2.159;;2.229;;2.169;;;2.229;0.0;0.0
01-07-2022;5272;;;;;;2.075;1.706;2.145;;2.115;;;2.235;0.0;0.0
01-07-2022;4394;;;;;;2.067;1.63;2.11;;2.12;;;;0.0;0.0
01-07-2022;8915;;;;;;;1.73;;;;;;;0.0;0.0
01-07-2022;13369;;;;;;1.997;;;;1.997;;;;0.0;0.0
01-07-2022;4417;;;;;;2.049;;2.099;;2.079;;;;0.0;0.0
01-07-2022;14612;;;1.989;1.889;;;;;;;;;;0.0;0.0
01-07-2022;13620;;;;;;2.139;;2.199;;2.149;;;2.269;0.0;0.0
01-07-2022;12801;;;;;;2.079;;2.139;;2.099;;;2.209;0.0;0.0
01-07-2022;13852;;;;;;1.986;;;;1.997;;;;0.0;0.0
01-07-2022;10129;;;;;;2.019;;;;;;;;0.0;0.0
